,customer_id,order_id,product_name,order_date
0,C_ID_45866,O_ID_3001072,Xerox 1913,11/5/2022
1,C_ID_44932,O_ID_3009170,#6 3/4 Gummed Flap White Envelopes,20-06-2022
2,C_ID_70880,O_ID_3047567,Belkin 8 Outlet Surge Protector,25-06-2022
3,C_ID_33157,O_ID_3060575,GBC VeloBinder Manual Binding System,10/6/2022
4,C_ID_58303,O_ID_3064311,Eldon Pizzaz Desk Accessories,2/5/2022
5,C_ID_34556,O_ID_3074984,Hoover Shoulder Vac Commercial Portable Vacuum,24-06-2022
6,C_ID_56882,O_ID_3000007,Rogers Handheld Barrel Pencil Sharpener,7/10/2022
7,C_ID_51638,O_ID_3000008,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",26-01-2022
8,C_ID_60578,O_ID_3000009,Ibico Hi-Tech Manual Binding System,9/3/2022
9,C_ID_55200,O_ID_3000010,"Alliance Super-Size Bands, Assorted Sizes",19-03-2022
10,C_ID_61171,O_ID_3000011,Southworth 25% Cotton Granite Paper & Envelopes,9/11/2022
11,C_ID_50457,O_ID_3079653,Logitech K350 2.4Ghz Wireless Keyboard,19-06-2022
12,C_ID_36240,O_ID_3086366,"DAX Value U-Channel Document Frames, Easel Back",11/5/2022
13,C_ID_52640,O_ID_3000153,PowerGen Dual USB Car Charger,30-04-2022
14,C_ID_52478,O_ID_3000155,Sensible Storage WireTech Storage Systems,30-05-2022
15,C_ID_52183,O_ID_3000016,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",3/2/2022
16,C_ID_28744,O_ID_3000017,Newell 312,27-02-2021
17,C_ID_45461,O_ID_3000018,Memorex Micro Travel Drive 8 GB,28-10-2021
18,C_ID_31115,O_ID_3000019,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",2/4/2021
19,C_ID_45766,O_ID_3000020,Avery 482,2/11/2021
20,C_ID_47752,O_ID_3000021,"DAX Value U-Channel Document Frames, Easel Back",1/12/2021
21,C_ID_50054,O_ID_3000022,"O'Sullivan Elevations Bookcase, Cherry Finish",3/1/2022
22,C_ID_36146,O_ID_3000023,Global Highback Leather Tilter in Burgundy,9/11/2021
23,C_ID_41234,O_ID_3000024,4009 Highlighters by Sanford,27-08-2021
24,C_ID_32090,O_ID_3000025,Avery Metallic Poly Binders,16-04-2021
25,C_ID_34773,O_ID_3000026,3-ring staple pack,25-05-2021
26,C_ID_44046,O_ID_3000027,Brown Kraft Recycled Envelopes,13-04-2021
27,C_ID_46414,O_ID_3000028,Staple envelope,14-08-2021
28,C_ID_46599,O_ID_3000029,Xerox 1923,14-11-2021
29,C_ID_48434,O_ID_3000030,Fellowes Stor/Drawer Steel Plus Storage Drawers,15-08-2021
30,C_ID_63936,O_ID_3000031,Tennsco 6- and 18-Compartment Lockers,25-07-2022
31,C_ID_65030,O_ID_3000032,Plantronics S12 Corded Telephone Headset System,11/7/2022
32,C_ID_62571,O_ID_3000033,Sauder Cornerstone Collection Library,10/2/2022
33,C_ID_65922,O_ID_3000034,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,23-08-2022
34,C_ID_63936,O_ID_3000035,DAX Black Cherry Wood-Tone Poster Frame,25-07-2022
35,C_ID_56448,O_ID_3000157,GBC Wire Binding Combs,17-04-2022
36,C_ID_67892,O_ID_3000037,Round Specialty Laser Printer Labels,21-09-2022
37,C_ID_56359,O_ID_3000038,AT&T 841000 Phone,7/2/2022
38,C_ID_52477,O_ID_3000907,"Performers Binder/Pad Holder, Black",24-04-2022
39,C_ID_57567,O_ID_3000909,Xerox 229,22-04-2022
40,C_ID_53413,O_ID_3000041,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",21-02-2022
41,C_ID_56973,O_ID_3000042,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",7/11/2022
42,C_ID_55155,O_ID_3000043,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",19-03-2022
43,C_ID_53403,O_ID_3000044,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,21-02-2022
44,C_ID_51298,O_ID_3000045,Ultra Door Push Plate,21-01-2022
45,C_ID_41251,O_ID_3000046,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,28-08-2021
46,C_ID_34756,O_ID_3000047,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",25-05-2021
47,C_ID_33846,O_ID_3000048,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",8/9/2021
48,C_ID_40501,O_ID_3000049,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",17-08-2021
49,C_ID_35241,O_ID_3000050,Newell 351,1/6/2021
50,C_ID_38941,O_ID_3000051,Newell 327,25-07-2021
51,C_ID_41056,O_ID_3000052,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,25-08-2021
52,C_ID_35691,O_ID_3000053,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",9/4/2021
53,C_ID_37121,O_ID_3000054,GBC DocuBind TL200 Manual Binding Machine,28-06-2021
54,C_ID_38746,O_ID_3000055,Storex Dura Pro Binders,22-07-2021
55,C_ID_32966,O_ID_3000056,Staple envelope,29-04-2021
56,C_ID_32781,O_ID_3000057,"Wirebound Service Call Books, 5 1/2"" x 4""",26-04-2021
57,C_ID_37401,O_ID_3000058,Eldon Fold 'N Roll Cart System,2/7/2021
58,C_ID_32296,O_ID_3000059,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,19-04-2021
59,C_ID_43321,O_ID_3000060,Apple iPhone 5C,27-09-2021
60,C_ID_36646,O_ID_3000061,Ultra Door Pull Handle,21-06-2021
61,C_ID_39736,O_ID_3000062,"Eldon Imàge Series Desk Accessories, Clear",28-05-2021
62,C_ID_39946,O_ID_3000063,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",26-06-2021
63,C_ID_32796,O_ID_3000064,"Eldon 200 Class Desk Accessories, Burgundy",8/10/2021
64,C_ID_37871,O_ID_3000065,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),18-06-2021
65,C_ID_37701,O_ID_3000066,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",16-07-2021
66,C_ID_34951,O_ID_3000067,"Alliance Big Bands Rubber Bands, 12/Pack",9/3/2021
67,C_ID_36946,O_ID_3000068,Xerox 195,18-06-2021
68,C_ID_33976,O_ID_3000069,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",26-08-2021
69,C_ID_36421,O_ID_3000070,Eldon Image Series Black Desk Accessories,8/1/2021
70,C_ID_38346,O_ID_3000071,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",10/5/2021
